trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.02, 'e': 0.06081006262521795}",25,19,9.738614007027177,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.02, 'e': 0.05960594270893937}",20,9,17.83506978176482,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.02, 'e': 0.05842566596450083}",25,0,17.805618660026457,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.02, 'e': 0.05726876026546736}",20,0,26.24974478906597,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.02, 'e': 0.056134762834133725}",20,11,16.677527780290745,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.02, 'e': 0.05502322005640723}",25,8,18.47818318138325,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': 0.05393368730035602}",25,10,17.889351607238986,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': 0.05286572873835037}",20,3,22.342364468004266,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.05181891717272583}",20,7,22.967754446611,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': 0.0507928338648985}",25,1,36.624786098059985,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.02, 'e': 0.049787068367863944}",20,6,18.928113666284414,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.02, 'e': 0.04880121836201296}",20,7,10.321843916503191,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.02, 'e': 0.04783488949419837}",25,15,16.90111655528261,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.02, 'e': 0.046887695219988486}",25,9,28.706706631321538,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': 0.045959256649044204}",20,0,30.57300391804839,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.02, 'e': 0.0450492023935578}",20,14,10.17303766218754,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': 0.04415716841969286}",30,18,21.407875327632407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.02, 'e': 0.043282797901965896}",30,23,11.58393817687059,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.02, 'e': 0.042425741080511385}",30,13,23.52799855386315,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02, 'e': 0.04158565512117316}",20,6,-20.211362833693965,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.02, 'e': 0.04076220397836621}",20,0,30.57084908809491,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': 0.039955058260653896}",35,20,26.03813473884243,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.02, 'e': 0.039163895098987066}",25,7,8.971146789000843,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': 0.038388398017552054}",20,0,32.9322210750079,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.02, 'e': 0.0376282568071762}",20,1,29.567801740008747,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': 0.036883167401239994}",20,14,11.20623930937366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.02, 'e': 0.03615283175404641}",20,8,17.057129217509562,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.02, 'e': 0.03543695772159864}",20,0,25.171975668495964,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.02, 'e': 0.03473525894473856}",25,0,20.564018332680543,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
170,False,"{'a': 0.02, 'e': 0.034047454734599344}",25,13,20.186621020850158,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.02, 'e': 0.03337326996032608}",30,0,34.62294707097528,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.02, 'e': 0.03271243493901982}",30,4,36.22613683668874,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.02, 'e': 0.03206468532786077}",25,17,11.323826950816144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.02, 'e': 0.03142976201836771}",20,15,10.779578158084913,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.02, 'e': 0.030807411032751076}",25,8,24.068172579001338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.02, 'e': 0.0301973834223185}",20,6,28.67100714145737,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.02, 'e': 0.029599435167892}",25,13,14.947555103418779,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.02, 'e': 0.029013327082197053}",25,15,18.77916659505035,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.02, 'e': 0.028438824714184505}",20,8,25.319800283174065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.02, 'e': 0.027875698255247015}",25,0,37.98516067110886,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.02, 'e': 0.02732372244729256}",20,12,16.751563134651022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.02, 'e': 0.026782676492638175}",20,11,17.97150515607236,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.02, 'e': 0.02625234396568796}",30,16,25.804114832260876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.02, 'e': 0.02573251272635994}",30,8,35.818892949358705,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.02, 'e': 0.025222974835227212}",20,3,15.858831269660811,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.02, 'e': 0.024723526470339388}",30,12,32.97034650632037,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.02, 'e': 0.024233967845691113}",20,0,27.228606882446915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
188,False,"{'a': 0.02, 'e': 0.023754103131304997}",20,0,29.710481800160586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
189,False,"{'a': 0.02, 'e': 0.023283740374897}",20,11,16.984420944595822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.02, 'e': 0.02282269142509297}",25,11,16.54660762533393,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.02, 'e': 0.02237077185616559}",30,6,43.50714003766653,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.02, 'e': 0.02192780089426161}",20,7,23.103396206857436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.02, 'e': 0.021493601345089923}",20,6,20.240802095098235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.02, 'e': 0.021067999523041434}",25,9,23.322938988397283,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.02, 'e': 0.020650825181712566}",25,2,40.321443010230965,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.02, 'e': 0.02024191144580439}",25,10,24.899931952464872,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.02, 'e': 0.019841094744370288}",20,14,14.69571397621089,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.02, 'e': 0.01944821474538539}",25,0,30.610293569067196,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
199,False,"{'a': 0.02, 'e': 0.019063114291611637}",20,14,9.910560515381071,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.02, 'e': 0.018685639337732773}",20,3,24.187375290616085,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
